book_name,book_author,book_isbn,book_pubtime,book_digest,book_sub_num,book_state,pic_name,book_pic_path,createduser,modifieduser,createdtime,modifiedtime
“蒸”的可以做蛋糕,[日]森崎茧香,9787555244370,2016-11-01,本书介绍了58款美味蒸糕点的作法，既有可以作为主食的咸味“蒸面包”，也有可以作为点心的甜味“蒸蛋糕”。基本的面团配上各式食材，不管是芝士或火腿之类的西式食材，还是日式配菜、水果、巧克力、和果子的材料等，都能做出让人幸福满满的美食。 ,0,0,“蒸”的可以做蛋糕.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-03-18 11:02:37,2023-03-19 15:03:49
6G技术发展及演进,许光斌,9787115558909,2021-10-01,本书简要介绍了6G的业务需求和技术发展趋势、6G愿景和设想、研究进展情况；分析了6G关键技术，例如太赫兹频谱技术、频段传播损耗等，并对太赫兹MAC协议设计进行分析，重点阐述了人工智能中的深度学习技术在6G技术推动终端应用等方面的技术特点，介绍了UM-MIMO技术；阐述了6G融合的卫星通信技术；叙述了6G系统的应用和部署设想。 ,0,0,6G技术发展及演进.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-17 11:02:37,2023-08-18 15:03:49
CPU设计实战,汪文祥、邢金璋,9787111674139,2021-04-01,"本书面向初学者，以实战的方式带领读者了解CPU设计的流程，并从零开始逐步开发出自己的CPU。本书将计算机组成与体系结构的理论知识和工业实践充分结合,使读者在实际的CPU设计与开发过程中更加深入地理解计算机系统的工作原理，掌握CPU设计理念、方法和技术。",0,0,CPU设计实战.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-02 11:02:37,2023-08-03 15:03:49
C程序设计语言（第2版·新版）,[美]Brian W. Kernighan、Dennis M. Ritchie,9787111128069,2004-01-01,"原著第1版中介绍的C语言成为后来广泛使用的C语言版本——标准C的基础。人们熟知的“hello,World""程序就是由本书首次引入的，现在，这一程序已经成为众多程序设计语言入门的第一课。原著第2版根据1987年制定的ANSIC标准做了适当的修订．引入了最新的语言形式，并增加了新的示例，通过简洁的描述、典型的示例，作者全面、系统、准确地讲述了C语言的各个特性以及程序设计的基本方法。",0,0,C程序设计语言（第2版·新版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-28 11:02:37,2023-07-29 15:03:49
Excel 2019应用大全,Excel Home,9787301326558,2021-11-01,本书系统地介绍了Excel 2019的技术特点和应用方法，深入揭示背后的原理概念，并配合有大量典型实用的应用案例，帮助读者全面掌握Excel应用技术。全书分为6篇50章，内容包括Excel基本功能、公式与函数、数据可视化常用功能、Excel数据分析、协同与其他特色功能、宏与VBA。附录中还提供了Excel的规范与限制，Excel的快捷键以及Excel术语简繁英对照表等内容，方便读者随时查阅。,0,0,Excel 2019应用大全.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-31 11:02:37,2023-08-01 15:03:49
Flash CS6动画制作与应用（第5版）,周建国、常丽媛,9787115534071,2020-06-01,Flash CS6是一款功能强大的交互式动画制作软件。本书将对Flash CS6的基本操作方法、绘图和编辑工具的使用、各种类型动画的设计方法以及动作脚本在复杂动画和交互动画设计中的应用进行详细的介绍。 全书分为上下两篇。上篇主要包括Flash CS6基础知识、绘制与编辑图形、对象的编辑和操作、编辑文本、外部素材的使用、元件和库、制作基本动画、层与不错动画、声音素材的导入和编辑、动作脚本应用基础、制作交互式动画与组件等内容；下篇精心安排了标志设计、贺卡设计、电子相册设计、广告设计、网页设计、节目包装及游戏设计等几个应用领域的18个精彩案例，并对这些案例进行了全面的分析和讲解。 本书适合作为职业院校数字媒体艺术类专业“Flash”课程的教材，也可供相关从业人员自学参考。,0,0,Flash CS6动画制作与应用（第5版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-29 11:02:37,2023-07-30 15:03:49
JavaScript百炼成仙,杨逸飞,9787302566625,2021-06-01,这是一本讲解JavaScript编程语言的技术书籍，只不过，本书采用了一种全新的写作手法。如果你厌倦了厚厚的、如同字典般的编程书籍，不妨尝试一下新的口味！通过本书，你可以领悟到JavaScript的函数七重关秘籍；通过本书，你可以轻松学会使用jQuery操作DOM对象；通过本书，你可以学会目前流行的Vue基础语法；通过本书，你还可以学会最新的ES6常用语法。 本书可作为JavaScript初学者入门的趣味读物。,0,0,JavaScript百炼成仙.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-27 11:02:37,2023-07-28 15:03:49
MySQL 必知必会,[英]Ben Forta,9787115191120,2009-01-01,MySQL是世界上受欢迎的数据库管理系统之一。书中从介绍简单的数据检索开始，逐步深入一些复杂的内容，包括联结的使用、子查询、正则表达式和基于全文本的搜索、存储过程、游标、触发器、表约束，等等。通过重点突出的章节，条理清晰、系统而扼要地讲述了读者应该掌握的知识，使他们不经意间立刻功力大增。,0,0,MySQL 必知必会.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-07 11:02:37,2023-08-08 15:03:49
Python编程,[美]埃里克·马瑟斯（Eric Matthes）,9787115546081,2020-10-01,本书是针对所有层次Python读者而作的Python入门书。全书分两部分：第一部分介绍用Python编程所必须了解的基本概念，包括Matplotlib等强大的Python库和工具，以及列表、字典、if语句、类、文件与异常、代码测试等内容；第二部分将理论付诸实践，讲解如何开发三个项目，包括简单的2D游戏、利用数据生成交互式的信息图以及创建和定制简单的Web应用，并帮助读者解决常见编程问题和困惑。第2版进行了全面修订，简化了Python安装流程，新增了f字符串、get()方法等内容，并且在项目中使用了Plotly库以及新版本的Django和Bootstrap，等等。,0,0,Python编程.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-25 11:02:37,2023-07-26 15:03:49
Python编程快速上手,[美]阿尔·斯维加特,9787115551870,2021-03-01,本书是一本面向初学者的Python编程实用指南。本书不仅介绍了Python语言的基础知识，而且通过案例实践教读者如何使用这些知识和技能。本书的第一部分介绍了基本的Python编程概念，第二部分介绍了一些不同的任务，通过编写Python程序，可以让计算机自动完成它们。第二 部分的每一章都有一些项目程序供读者学习。每章的末尾还提供了一些习题和深入的实践项目，帮助读者巩固所学的知识。附录部分提供了所有习题的解答。,0,0,Python编程快速上手.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-26 11:02:37,2023-07-27 15:03:49
SQL基础教程（第2版）,[日]MICK,9787115455024,2017-06-01,本书是畅销书《SQL基础教程》第2版，介绍了关系数据库以及用来操作关系数据库的SQL语言的使用方法。书中通过丰富的图示、大量示例程序和详实的操作步骤说明，让读者循序渐进地掌握SQL的基础知识和使用技巧，切实提高编程能力。每章结尾设置有练习题，帮助读者检验对各章内容的理解程度。另外，本书还将重要知识点总结为“法则”，方便读者随时查阅。第2版除了将示例程序更新为对应新版本的DB的SQL之外，还新增了一章，介绍如何从应用程序执行SQL。,0,0,SQL基础教程（第2版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-30 11:02:37,2023-08-31 15:03:49
UNIX环境高级编程 第3版,[美]W. 理查德.史蒂文斯（W. Richard Stevens）、史蒂芬.A. 拉戈（Stephen A. Rago）,9787115352118,2014-06-01,本书是被誉为UNIX编程“圣经”的Advanced Programming in the UNIX Environment一书的第3版。在本书第2版出版后的8年中，UNIX发生了巨大的变化，特别是影响UNIX编程接口的有关标准变化很大。本书在保持前一版风格的基础上，根据新的标准对内容进行了修订和增补，反映了新的技术发展。书中除了介绍UNIX文件和目录、标准I/O库、系统数据文件和信息、进程环境、进程控制、进程关系、信号、线程、线程控制、守护进程、各种I/O、进程间通信、网络IPC、伪终端等方面的内容，还在此基础上介绍了众多应用实例，包括如何创建数据库函数库以及如何与网络打印机通信等。此外，还在附录中给出了函数原型和部分习题的答案。,0,0,UNIX环境高级编程 第3版.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-31 11:02:37,2023-09-01 15:03:49
UNIX网络编程 卷1：套接字联网API（第3版）,[美]W. 理查德•史蒂文斯（W. Richard Stevens）、比尔• 芬纳（Bill Fenner）、安德鲁 M. 鲁道夫（Andrew M. Rudoff）,9787115367198,2015-08-01,本书介绍了如何使用套接字API进行网络编程。不但介绍了基本编程内容，还涵盖了与套接字编程相关的高级主题，对于客户/服务器程序的各种设计方法也作了探讨，还分析了流这种设备驱动机制。几乎每章都提供了精选的习题，并提供了部分习题的答案。 ,0,0,UNIX网络编程 卷1：套接字联网API（第3版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-09-01 11:02:37,2023-09-02 15:03:49
word excel ppt从入门到精通,曾焱,9787218130019,2019-01-01,"本书是指导初学者学习Word/Excel/PPT 的入门书籍。针对初学者的学习特点，书中详细地介绍了初学者学习Word/ Excel/PPT时应该掌握的基础知识和使用方法，并对初学者在学习过程中经常会遇到的问题进行了专家级的解答，帮助读者熟练地运用Word进行文档的编辑与排版、Excel创建表格和处理数据以及PPT设计与制作演示文稿,书中通过多个办公实战案例，帮助初学者快速获得熟练的办公应用技能与 使用技巧，提高工作效率，提升职场竞争力。",0,0,word excel ppt从入门到精通.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-07-30 11:02:37,2023-07-31 15:03:49
